video_id,video_length_sec,original_bitrate_kbps,target_resolution,transcoding_time_sec,vmaf_score
vid0045,6.65,12610.5,288,4.79,38.86
vid0045,6.65,12610.5,360,5.21,50.56
vid0045,6.65,12610.5,480,7.57,64.32
vid0045,6.65,12610.5,720,10.07,79.09
vid0045,6.65,12610.5,1080,12.59,100.0
vid0046,5.433,12975.2,144,1.59,10.02
vid0046,5.433,12975.2,240,3.6,27.33
vid0046,5.433,12975.2,288,3.94,38.82
vid0046,5.433,12975.2,360,4.28,50.31
vid0046,5.433,12975.2,480,6.17,63.59
vid0046,5.433,12975.2,720,8.2,78.23
vid0046,5.433,12975.2,1080,10.25,100.0
vid0047,7.35,12971.0,144,2.1,10.02
vid0047,7.35,12971.0,240,4.8,26.99
vid0047,7.35,12971.0,288,5.28,38.11
vid0047,7.35,12971.0,360,5.76,49.23
vid0047,7.35,12971.0,480,8.26,62.44
vid0047,7.35,12971.0,720,10.96,77.5
vid0047,7.35,12971.0,1080,13.7,100.0
vid0048,7.283,13266.4,144,2.09,10.02
vid0048,7.283,13266.4,240,4.84,25.33
vid0048,7.283,13266.4,288,5.29,36.73
vid0048,7.283,13266.4,360,5.73,48.13
vid0048,7.283,13266.4,480,8.14,61.96
vid0048,7.283,13266.4,720,10.92,77.78
vid0048,7.283,13266.4,1080,13.65,100.0
vid0049,8.367,11480.5,144,2.32,10.04
vid0049,8.367,11480.5,240,5.34,28.08
vid0049,8.367,11480.5,288,5.79,39.58
vid0049,8.367,11480.5,360,6.24,51.09
vid0049,8.367,11480.5,480,8.91,64.5
vid0049,8.367,11480.5,720,11.42,79.39
vid0049,8.367,11480.5,1080,14.28,100.0
vid0050,6.083,12364.2,144,1.75,10.21
vid0050,6.083,12364.2,240,4.0,30.89
vid0050,6.083,12364.2,288,4.38,42.6
vid0050,6.083,12364.2,360,4.76,54.3
vid0050,6.083,12364.2,480,6.77,67.14
vid0050,6.083,12364.2,720,8.85,81.44
vid0050,6.083,12364.2,1080,11.06,100.0
vid0051,7.167,11514.4,144,2.01,10.09
vid0051,7.167,11514.4,240,4.6,32.91
vid0051,7.167,11514.4,288,5.04,44.53
vid0051,7.167,11514.4,360,5.48,56.16
vid0051,7.167,11514.4,480,7.8,69.29
vid0051,7.167,11514.4,720,10.01,82.7
vid0051,7.167,11514.4,1080,12.51,100.0
vid0052,5.35,13871.0,144,1.58,10.04
vid0052,5.35,13871.0,240,3.56,30.71
vid0052,5.35,13871.0,288,3.91,41.99
vid0052,5.35,13871.0,360,4.25,53.26
vid0052,5.35,13871.0,480,6.06,66.54
vid0052,5.35,13871.0,720,8.08,80.86
vid0052,5.35,13871.0,1080,10.1,100.0
vid0053,8.567,12838.4,144,2.37,10.01
vid0053,8.567,12838.4,240,5.6,28.26
vid0053,8.567,12838.4,288,6.14,39.55
vid0053,8.567,12838.4,360,6.68,50.84
vid0053,8.567,12838.4,480,9.56,64.46
vid0053,8.567,12838.4,720,12.84,79.03
vid0053,8.567,12838.4,1080,16.05,100.0
vid0054,8.35,11929.0,144,2.32,10.0
vid0054,8.35,11929.0,240,5.46,26.58
vid0054,8.35,11929.0,288,5.98,38.45
vid0054,8.35,11929.0,360,6.5,50.31
vid0054,8.35,11929.0,480,9.28,64.26
vid0054,8.35,11929.0,720,12.28,79.3
vid0054,8.35,11929.0,1080,15.35,100.0
vid0055,6.517,12518.1,144,1.82,10.0
vid0055,6.517,12518.1,240,4.22,26.4
vid0055,6.517,12518.1,288,4.6,38.39
vid0055,6.517,12518.1,360,4.98,50.37
vid0055,6.517,12518.1,480,7.12,63.79
vid0055,6.517,12518.1,720,9.17,78.67
vid0055,6.517,12518.1,1080,11.46,100.0
vid0056,6.95,12176.2,144,1.97,10.03
vid0056,6.95,12176.2,240,4.5,27.61
vid0056,6.95,12176.2,288,4.94,39.27
vid0056,6.95,12176.2,360,5.37,50.93
vid0056,6.95,12176.2,480,7.73,64.13
vid0056,6.95,12176.2,720,10.15,78.84
vid0056,6.95,12176.2,1080,12.69,100.0
vid0057,6.55,13176.6,144,1.91,10.01
vid0057,6.55,13176.6,240,4.3,28.31
vid0057,6.55,13176.6,288,4.75,39.65
vid0057,6.55,13176.6,360,5.19,51.0
vid0057,6.55,13176.6,480,7.56,64.06
vid0057,6.55,13176.6,720,10.06,78.52
vid0057,6.55,13176.6,1080,12.58,100.0
vid0058,9.317,10688.8,144,2.48,10.01
vid0058,9.317,10688.8,240,5.8,28.98
vid0058,9.317,10688.8,288,6.35,40.37
vid0058,9.317,10688.8,360,6.9,51.77
